# time Tc_folded Tref_folded model 
59294.209931 -1.392289 0.236667     0.847780
59294.241713 -1.360507 0.238836     0.832921
59294.273495 -1.328725 0.241005     0.817929
59294.305277 -1.296943 0.243174     0.802810
59294.337059 -1.265161 0.245343     0.787570
59294.368841 -1.233379 0.247512     0.772213
59294.400623 -1.201597 0.249681     0.756747
59294.432405 -1.169815 0.251850     0.741175
59294.464187 -1.138033 0.254019     0.725504
59294.495969 -1.106251 0.256188     0.709738
59294.527751 -1.074469 0.258357     0.693884
59294.559533 -1.042687 0.260526     0.677946
59294.591315 -1.010905 0.262695     0.661929
59294.623097 -0.979123 0.264864     0.645839
59294.654879 -0.947341 0.267033     0.629680
59294.686661 -0.915559 0.269202     0.613458
59294.718443 -0.883777 0.271371     0.597177
59294.750225 -0.851995 0.273540     0.580843
59294.782007 -0.820213 0.275709     0.564461
59294.813789 -0.788431 0.277878     0.548034
59294.845571 -0.756649 0.280047     0.531568
59294.877353 -0.724867 0.282216     0.515067
59294.909135 -0.693085 0.284385     0.498536
59294.940917 -0.661303 0.286554     0.481980
59294.972699 -0.629521 0.288723     0.465402
59295.004481 -0.597739 0.290892     0.448807
59295.036263 -0.565958 0.293061     0.432199
59295.068045 -0.534176 0.295230     0.415583
59295.099827 -0.502394 0.297399     0.398962
59295.131609 -0.470612 0.299568     0.382341
59295.163391 -0.438830 0.301737     0.365723
59295.195173 -0.407048 0.303906     0.349113
59295.226955 -0.375266 0.306075     0.332514
59295.258737 -0.343484 0.308244     0.315930
59295.290519 -0.311702 0.310413     0.299365
59295.322301 -0.279920 0.312582     0.282821
59295.354083 -0.248138 0.314751     0.266304
59295.385865 -0.216356 0.316920     0.249815
59295.417647 -0.184574 0.319089     0.233359
59295.449429 -0.152792 0.321258     0.216939
59295.481211 -0.121010 0.323428     0.200557
59295.512993 -0.089228 0.325597     0.184218
59295.544775 -0.057446 0.327766     0.167923
59295.576557 -0.025664 0.329935     0.151677
59295.608338 0.006118 0.332104     0.135482
59295.640120 0.037900 0.334273     0.119340
59295.671902 0.069682 0.336442     0.103256
59295.703684 0.101464 0.338611     0.087231
59295.735466 0.133246 0.340780     0.071267
59295.767248 0.165028 0.342949     0.055369
59295.799030 0.196810 0.345118     0.039537
59295.830812 0.228592 0.347287     0.023775
59295.862594 0.260374 0.349456     0.008085
59295.894376 0.292156 0.351625    -0.007531
59295.926158 0.323938 0.353794    -0.023071
59295.957940 0.355720 0.355963    -0.038531
59295.989722 0.387502 0.358132    -0.053911
59296.021504 0.419284 0.360301    -0.069208
59296.053286 0.451066 0.362470    -0.084420
59296.085068 0.482848 0.364639    -0.099546
59296.116850 0.514630 0.366808    -0.114582
59296.148632 0.546412 0.368977    -0.129528
59296.180414 0.578194 0.371146    -0.144382
59296.212196 0.609976 0.373315    -0.159141
59296.243978 0.641758 0.375484    -0.173805
59296.275760 0.673540 0.377653    -0.188371
59296.307542 0.705322 0.379822    -0.202839
59296.339324 0.737104 0.381991    -0.217205
59296.371106 0.768886 0.384160    -0.231470
59296.402888 0.800668 0.386329    -0.245632
59296.434670 0.832450 0.388498    -0.259688
59296.466452 0.864232 0.390667    -0.273638
59296.498234 0.896014 0.392836    -0.287481
59296.530016 0.927796 0.395005    -0.301215
