# time Tc_folded Tref_folded model 
59294.209931 -15.284288 0.271536     1.986429
59294.241713 -15.252506 0.272108     1.985021
59294.273495 -15.220724 0.272679     1.983597
59294.305277 -15.188942 0.273251     1.982155
59294.337059 -15.157160 0.273823     1.980696
59294.368841 -15.125378 0.274395     1.979221
59294.400623 -15.093596 0.274967     1.977728
59294.432405 -15.061814 0.275538     1.976219
59294.464187 -15.030032 0.276110     1.974693
59294.495969 -14.998250 0.276682     1.973149
59294.527751 -14.966468 0.277254     1.971589
59294.559533 -14.934686 0.277825     1.970013
59294.591315 -14.902904 0.278397     1.968419
59294.623097 -14.871122 0.278969     1.966808
59294.654879 -14.839340 0.279541     1.965181
59294.686661 -14.807558 0.280113     1.963537
59294.718443 -14.775776 0.280684     1.961877
59294.750225 -14.743994 0.281256     1.960200
59294.782007 -14.712212 0.281828     1.958506
59294.813789 -14.680430 0.282400     1.956795
59294.845571 -14.648648 0.282972     1.955068
59294.877353 -14.616866 0.283543     1.953325
59294.909135 -14.585084 0.284115     1.951564
59294.940917 -14.553302 0.284687     1.949788
59294.972699 -14.521520 0.285259     1.947995
59295.004481 -14.489738 0.285831     1.946185
59295.036263 -14.457956 0.286402     1.944359
59295.068045 -14.426174 0.286974     1.942516
59295.099827 -14.394392 0.287546     1.940658
59295.131609 -14.362610 0.288118     1.938782
59295.163391 -14.330828 0.288690     1.936891
59295.195173 -14.299046 0.289261     1.934983
59295.226955 -14.267264 0.289833     1.933059
59295.258737 -14.235482 0.290405     1.931119
59295.290519 -14.203700 0.290977     1.929162
59295.322301 -14.171918 0.291549     1.927189
59295.354083 -14.140137 0.292120     1.925200
59295.385865 -14.108355 0.292692     1.923195
59295.417647 -14.076573 0.293264     1.921174
59295.449429 -14.044791 0.293836     1.919136
59295.481211 -14.013009 0.294407     1.917083
59295.512993 -13.981227 0.294979     1.915013
59295.544775 -13.949445 0.295551     1.912927
59295.576557 -13.917663 0.296123     1.910826
59295.608338 -13.885881 0.296695     1.908708
59295.640120 -13.854099 0.297266     1.906575
59295.671902 -13.822317 0.297838     1.904425
59295.703684 -13.790535 0.298410     1.902259
59295.735466 -13.758753 0.298982     1.900078
59295.767248 -13.726971 0.299554     1.897881
59295.799030 -13.695189 0.300125     1.895668
59295.830812 -13.663407 0.300697     1.893439
59295.862594 -13.631625 0.301269     1.891194
59295.894376 -13.599843 0.301841     1.888934
59295.926158 -13.568061 0.302413     1.886657
59295.957940 -13.536279 0.302984     1.884365
59295.989722 -13.504497 0.303556     1.882058
59296.021504 -13.472715 0.304128     1.879734
59296.053286 -13.440933 0.304700     1.877395
59296.085068 -13.409151 0.305272     1.875041
59296.116850 -13.377369 0.305843     1.872670
59296.148632 -13.345587 0.306415     1.870284
59296.180414 -13.313805 0.306987     1.867883
59296.212196 -13.282023 0.307559     1.865466
59296.243978 -13.250241 0.308131     1.863033
59296.275760 -13.218459 0.308702     1.860585
59296.307542 -13.186677 0.309274     1.858122
59296.339324 -13.154895 0.309846     1.855643
59296.371106 -13.123113 0.310418     1.853148
59296.402888 -13.091331 0.310989     1.850638
59296.434670 -13.059549 0.311561     1.848113
59296.466452 -13.027767 0.312133     1.845573
59296.498234 -12.995985 0.312705     1.843017
59296.530016 -12.964203 0.313277     1.840445
59296.561798 -12.932421 0.313848     1.837859
59296.593580 -12.900639 0.314420     1.835257
59296.625362 -12.868857 0.314992     1.832640
59296.657144 -12.837075 0.315564     1.830007
59296.688926 -12.805293 0.316136     1.827360
59296.720708 -12.773511 0.316707     1.824697
59296.752490 -12.741729 0.317279     1.822019
59296.784272 -12.709947 0.317851     1.819326
59296.816054 -12.678165 0.318423     1.816618
59296.847836 -12.646383 0.318995     1.813894
59296.879618 -12.614601 0.319566     1.811156
59296.911400 -12.582819 0.320138     1.808402
59296.943182 -12.551037 0.320710     1.805634
59296.974964 -12.519255 0.321282     1.802850
59297.006746 -12.487473 0.321854     1.800051
59297.038528 -12.455691 0.322425     1.797238
59297.070310 -12.423909 0.322997     1.794409
59297.102092 -12.392127 0.323569     1.791566
59297.133874 -12.360345 0.324141     1.788707
59297.165656 -12.328563 0.324713     1.785834
59297.197438 -12.296781 0.325284     1.782946
59297.229220 -12.264999 0.325856     1.780043
